identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
-6.97662E+17,user,Royaume-Uni,en,52,8,0,32,55,100,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,86,3205,106.83,8.9,gb
2555419810142554931,user,Royaume-Uni,en,42,8,0,55,54,100,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,23,3203,106.77,8.9,gb
-6.01718E+18,user,Royaume-Uni,en,28,8,83,34,51,100,25,8,F,2,mrs,TRUE,FALSE,TRUE,TRUE,12,2854,95.13,7.93,gb
-6.18493E+18,user,Espagne,es,96,0,3,0,50,96,214,32,F,2,mrs,TRUE,FALSE,TRUE,FALSE,13,3201,106.7,8.89,es
751170060116305027,user,Italie,it,58,8,2,62,50,100,0,0,M,1,mr,FALSE,FALSE,FALSE,FALSE,11,3195,106.5,8.88,it
866533151187667584,user,Espagne,es,53,9,4,38,50,68,3,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,240,2857,95.23,7.94,es
2063789019158959186,user,Italie,it,63,8,2,7,49,86.4,0,0,F,2,mrs,TRUE,TRUE,FALSE,FALSE,12,3202,106.73,8.89,it
-6.20095E+18,user,Bulgarie,en,30,8,7,6,48,35,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,43,3204,106.8,8.9,bg
8848554873545217386,user,Espagne,es,58,48,593,39,47,93,66,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2854,95.13,7.93,es
3479861271803167547,user,Royaume-Uni,en,28,8,4,0,47,77,8,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,21,3198,106.6,8.88,gb
2624921703073218682,user,Etats-Unis,en,53,61,1160,62,45,80,4,69,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2855,95.17,7.93,us
6316993533074981913,user,France,fr,22,8,0,2,44,89.1,0,0,F,2,mrs,TRUE,TRUE,FALSE,TRUE,11,3200,106.67,8.89,fr
4006961445353148761,user,Italie,it,21,8,12,7,44,93,9,3,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,3196,106.53,8.88,it
-1.0068E+18,user,Italie,it,47,8,13,25,43,93,19,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3195,106.5,8.88,it
1243326618075091756,user,France,en,41,8,0,23,43,78,0,0,F,2,mrs,TRUE,TRUE,TRUE,FALSE,11,3203,106.77,8.9,fr
-1.47667E+18,user,Bulgarie,en,67,30,345,4,42,79,157,12,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3199,106.63,8.89,bg
-6.85667E+17,user,Italie,it,100,450,544,82,41,90,114,9,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2856,95.2,7.93,it
-3.50928E+18,user,Chypre,en,39,17,474,66,41,87,17,0,F,2,mrs,FALSE,FALSE,FALSE,FALSE,11,2852,95.07,7.92,cy
-3.24041E+18,user,Royaume-Uni,en,9,8,3,5,41,78,1,1,M,1,mr,TRUE,FALSE,TRUE,TRUE,11,2859,95.3,7.94,gb
-7.00321E+18,user,France,fr,15,8,0,10,38,84,1,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,3198,106.6,8.88,fr
245123921236534929,user,Royaume-Uni,en,82,12,150,5,37,50,7,5,F,3,miss,TRUE,FALSE,TRUE,FALSE,106,2857,95.23,7.94,gb
3603032965600555065,user,Italie,it,40,8,0,12,37,94,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2856,95.2,7.93,it
5888568966094757110,user,France,fr,111,37,237,7,35,91,2,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2853,95.1,7.92,fr
-6.74376E+17,user,Italie,it,172,50,778,96,34,64,2,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3202,106.73,8.89,it
-1.51813E+18,user,Italie,it,43,12,204,40,34,96.2,1,0,F,2,mrs,TRUE,TRUE,TRUE,FALSE,12,2858,95.27,7.94,it
414557244265065039,user,Italie,it,24,23,34,46,34,85,9,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3197,106.57,8.88,it
-2.59371E+18,user,Italie,en,94,9,5,10,33,28,0,0,M,1,mr,TRUE,TRUE,TRUE,FALSE,77,2858,95.27,7.94,it
-3.75657E+18,user,Allemagne,de,30,8,16,13,33,96,97,1,F,2,mrs,FALSE,FALSE,FALSE,FALSE,12,2857,95.23,7.94,de
-4.70879E+18,user,France,fr,18,9,4,7,33,93,2,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,16,3196,106.53,8.88,fr
-2.42376E+18,user,Italie,it,16,17,14,24,33,87,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,13,3196,106.53,8.88,it
4878417912154087005,user,Bulgarie,en,57,11,26,55,31,100,3,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,3204,106.8,8.9,bg
-3.10556E+18,user,Espagne,es,17,9,16,8,31,90,1,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,17,3200,106.67,8.89,es
2471908634811746774,user,France,fr,17,8,1,35,31,93,2,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,2858,95.27,7.94,fr
-7.0735E+17,user,Luxembourg,en,52,3,137,0,30,90,117,80,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3199,106.63,8.89,lu
-2.66967E+17,user,France,fr,48,8,9,0,30,93,1,0,F,2,mrs,TRUE,TRUE,FALSE,FALSE,131,2858,95.27,7.94,fr
-5.12604E+18,user,Royaume-Uni,en,31,8,84,4,30,100,19,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,14,3200,106.67,8.89,gb
5040679896375816853,user,Italie,it,24,8,27,113,30,76,9,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2857,95.23,7.94,it
7628056793489694733,user,Italie,it,20,8,11,12,30,93,0,1,F,2,mrs,TRUE,FALSE,TRUE,TRUE,12,3198,106.6,8.88,it
1148664357418862256,user,Italie,it,19,8,1,15,30,83,0,1,F,2,mrs,TRUE,FALSE,TRUE,TRUE,13,3203,106.77,8.9,it
-7.5252E+18,user,Royaume-Uni,en,7,8,0,37,30,90,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,13,2853,95.1,7.92,gb
-7.30555E+18,user,Royaume-Uni,en,42,8,0,5,29,86,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,15,3197,106.57,8.88,gb
-4.98916E+18,user,Royaume-Uni,en,21,8,1,5,29,100,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,198,3205,106.83,8.9,gb
-5.48762E+18,user,Italie,it,18,9,19,84,29,66,15,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,3197,106.57,8.88,it
5578087612076626342,user,Italie,it,38,9,0,5,28,96,0,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,14,3201,106.7,8.89,it
460632335991029855,user,France,fr,28,8,0,0,28,89,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,15,3200,106.67,8.89,fr
-3.03104E+18,user,Espagne,es,25,1,0,32,28,89,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,12,2853,95.1,7.92,es
-3.22555E+18,user,Italie,it,18,8,16,4,28,100,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3195,106.5,8.88,it
-2.01964E+18,user,Roumanie,en,13,8,3,16,28,96,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,2853,95.1,7.92,ro
2447725262541190866,user,Su?de,en,62,16,91,8,27,41.6,106,8,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,2859,95.3,7.94,se
-4.75961E+17,user,Italie,it,37,9,122,23,27,85,0,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,3202,106.73,8.89,it
-5.26501E+18,user,Pays-Bas,en,35,11,8,2,27,55,1,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,30,3202,106.73,8.89,nl
392351478755041771,user,France,fr,34,9,46,25,27,96,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,12,2855,95.17,7.93,fr
-1.55473E+17,user,Italie,it,21,9,3,20,27,85,0,0,F,3,miss,TRUE,TRUE,TRUE,FALSE,11,3204,106.8,8.9,it
-7.3331E+18,user,Slovaquie,en,15,8,9,14,27,74,0,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,15,3197,106.57,8.88,sk
6362794750925083140,user,Royaume-Uni,en,14,8,0,3,27,100,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,62,3205,106.83,8.9,gb
2296455035567004619,user,Royaume-Uni,en,29,8,2,13,26,100,0,0,M,1,mr,FALSE,FALSE,FALSE,TRUE,11,2853,95.1,7.92,gb
-1.55879E+18,user,Italie,it,28,9,11,17,26,82.6,0,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,3195,106.5,8.88,it
-1.18824E+17,user,Italie,it,25,10,0,1,26,100,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,40,3195,106.5,8.88,it
5570386793953288474,user,Espagne,es,15,8,1,17,26,88,0,0,F,2,mrs,TRUE,TRUE,FALSE,TRUE,20,3197,106.57,8.88,es
4039848352999540316,user,Italie,it,10,8,5,48,26,95,3,1,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,3199,106.63,8.89,it
6198034727570263587,user,Royaume-Uni,en,52,8,760,18,24,37,182,13,F,2,mrs,TRUE,FALSE,TRUE,FALSE,12,3199,106.63,8.89,gb
-3.76713E+18,user,Italie,it,34,16,35,28,24,84,1,0,F,2,mrs,TRUE,TRUE,FALSE,FALSE,11,3204,106.8,8.9,it
-3.64242E+18,user,Bulgarie,en,31,27,161,4,24,100,612,20,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,3198,106.6,8.88,bg
-4.28969E+18,user,Espagne,es,31,8,6,1,24,76,0,0,F,2,mrs,FALSE,FALSE,FALSE,FALSE,13,2858,95.27,7.94,es
-2.03256E+18,user,Italie,it,27,8,0,1,24,90.9,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,38,2856,95.2,7.93,it
5269324306561310714,user,Royaume-Uni,en,16,8,30,5,24,84,71,1,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,3198,106.6,8.88,gb
7870506640365540286,user,Allemagne,en,14,8,31,17,24,83,1,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,15,2853,95.1,7.92,de
-5.63778E+18,user,Italie,it,11,9,14,3,24,87,0,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,14,2852,95.07,7.92,it
8398736055743885615,user,Hong Kong,en,36,41,89,35,23,86,128,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2852,95.07,7.92,hk
3156900972305054493,user,Italie,it,23,12,79,1,23,95,12,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,13,3196,106.53,8.88,it
-4.66232E+18,user,France,fr,22,9,2,21,23,95,112,5,M,1,mr,FALSE,FALSE,FALSE,TRUE,11,3199,106.63,8.89,fr
3205066812882034823,user,France,fr,19,9,13,35,23,82,1,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3198,106.6,8.88,fr
2005806314827326593,user,France,fr,17,8,40,3,23,95,0,7,M,1,mr,TRUE,TRUE,FALSE,FALSE,11,2853,95.1,7.92,fr
3396971333013662462,user,Espagne,es,16,10,263,3,23,86,5,1,M,1,mr,TRUE,FALSE,TRUE,FALSE,15,2856,95.2,7.93,es
-1.32505E+17,user,France,fr,36,8,45,5,22,69.2,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,14,2856,95.2,7.93,fr
3941177177301677758,user,Italie,it,35,10,9,7,22,88.8,7,4,F,2,mrs,TRUE,TRUE,FALSE,FALSE,11,2859,95.3,7.94,it
3560501522899090938,user,Espagne,es,23,8,1,15,22,95,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,12,3198,106.6,8.88,es
5608601345266668741,user,Royaume-Uni,en,22,9,20,13,22,100,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,14,3201,106.7,8.89,gb
-3.98862E+18,user,Royaume-Uni,en,20,8,203,13,22,100,19,5,F,3,miss,FALSE,FALSE,FALSE,TRUE,14,2853,95.1,7.92,gb
-2.63557E+18,user,Italie,it,14,8,0,20,22,100,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,12,3201,106.7,8.89,it
5340705875835601373,user,Roumanie,en,47,56,1,23,21,85,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,11,3205,106.83,8.9,ro
-7.45659E+18,user,Lettonie,en,36,8,3,21,21,90,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,12,3201,106.7,8.89,lv
-4.58506E+18,user,France,fr,23,8,165,4,21,80,0,1,F,2,mrs,TRUE,FALSE,TRUE,TRUE,13,3197,106.57,8.88,fr
-1.84364E+18,user,France,fr,15,8,0,2,21,80,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,509,2859,95.3,7.94,fr
6636702965614781797,user,France,fr,7,8,4,31,21,100,0,0,F,2,mrs,FALSE,FALSE,FALSE,FALSE,11,2853,95.1,7.92,fr
-6.49386E+18,user,Allemagne,fr,44,9,71,0,20,85,1,4,M,1,mr,TRUE,FALSE,TRUE,FALSE,348,3201,106.7,8.89,de
7599081979479136578,user,Italie,it,37,8,3,0,20,90,0,0,M,1,mr,TRUE,TRUE,FALSE,TRUE,407,2859,95.3,7.94,it
2954063031698528819,user,France,fr,22,9,8,1,20,80,10,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,3199,106.63,8.89,fr
-1.75545E+17,user,Autriche,de,17,10,81,20,20,100,80,9,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3204,106.8,8.9,at
-8.11406E+18,user,France,fr,16,8,33,10,20,79,1,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,17,3205,106.83,8.9,fr
2176676048375513068,user,Royaume-Uni,en,14,10,65,20,20,90,117,3,F,2,mrs,FALSE,FALSE,FALSE,FALSE,11,2858,95.27,7.94,gb
-5.41496E+18,user,Pays-Bas,en,8,9,29,25,20,92.8,0,1,F,2,mrs,FALSE,FALSE,FALSE,FALSE,14,3204,106.8,8.9,nl
8412468974196688678,user,Royaume-Uni,en,52,44,73,15,19,100,3,3,F,2,mrs,TRUE,FALSE,TRUE,FALSE,13,3202,106.73,8.89,gb
4544236993054741742,user,Italie,it,48,28,346,3,19,89,1075,54,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,2856,95.2,7.93,it
-7.27025E+18,user,Italie,it,44,90,105,4,19,94,7,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3199,106.63,8.89,it
5658594004416572127,user,Italie,it,32,8,1,4,19,100,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,11,2852,95.07,7.92,it
2089942970038387442,user,Belgique,fr,19,8,0,1,19,50,0,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,462,3197,106.57,8.88,be
4397937128872732591,user,Italie,it,17,8,6,17,19,100,1,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,12,3199,106.63,8.89,it
8714632166259025899,user,France,fr,12,8,0,4,19,94,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,164,3199,106.63,8.89,fr
7433446967793286808,user,Italie,it,12,8,3,15,19,94,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,3197,106.57,8.88,it
1012384471114635140,user,Pays-Bas,en,71,9,22,0,18,66,14,11,F,2,mrs,TRUE,TRUE,FALSE,FALSE,14,3203,106.77,8.9,nl
286344086476967426,user,Italie,en,44,8,14,0,18,78,9,3,F,2,mrs,TRUE,FALSE,TRUE,FALSE,61,3203,106.77,8.9,it
2810735565323164718,user,Italie,it,22,9,36,51,18,70,1,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3202,106.73,8.89,it
5948527957260622680,user,Su?de,en,18,8,1,4,18,100,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,22,3201,106.7,8.89,se
1414819104682020728,user,Espagne,fr,18,16,52,0,18,100,4,48,F,2,mrs,FALSE,FALSE,FALSE,TRUE,12,3198,106.6,8.88,es
2742851837655339909,user,France,fr,18,9,4,9,18,100,3,1,F,2,mrs,TRUE,FALSE,TRUE,TRUE,15,2854,95.13,7.93,fr
-1.81124E+18,user,Italie,it,16,15,1,4,18,44,3,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,30,3195,106.5,8.88,it
-2.48405E+18,user,Royaume-Uni,en,11,10,14,5,18,83,19,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,12,3202,106.73,8.89,gb
-1.58726E+18,user,Italie,it,4,8,0,18,18,84,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,29,3205,106.83,8.9,it
-2.56273E+18,user,Italie,it,41,85,69,12,17,58,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,14,3195,106.5,8.88,it
-6.77441E+18,user,Italie,it,40,122,28,18,17,66,3,2,F,2,mrs,TRUE,FALSE,TRUE,TRUE,13,3200,106.67,8.89,it
5645343112681716929,user,Suisse,en,18,8,4,202,17,92.3,31,6,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,2856,95.2,7.93,ch
-1.96526E+17,user,Espagne,es,15,8,0,23,17,88,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,13,2858,95.27,7.94,es
-5.61535E+18,user,France,fr,12,8,0,0,17,70,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,14,2857,95.23,7.94,fr
2809544399795828097,user,Italie,it,6,8,0,5,17,94,0,0,F,3,miss,FALSE,FALSE,FALSE,TRUE,72,3195,106.5,8.88,it
-4.95208E+18,user,Italie,it,6,9,2,4,17,76,0,0,M,1,mr,TRUE,TRUE,FALSE,FALSE,18,3204,106.8,8.9,it
-4.18397E+18,user,France,fr,23,8,10,6,16,100,1,0,F,2,mrs,TRUE,FALSE,TRUE,TRUE,12,3195,106.5,8.88,fr
-3.2783E+18,user,France,fr,22,8,0,27,16,100,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,653,3205,106.83,8.9,fr
3298648559181926186,user,Italie,it,13,12,7,10,16,87,0,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,3196,106.53,8.88,it
7815106841903372829,user,Italie,it,13,8,12,3,16,81,1,0,M,1,mr,FALSE,FALSE,FALSE,FALSE,40,2856,95.2,7.93,it
8467622258833974988,user,Australie,en,12,8,13,12,16,100,4,0,M,1,mr,FALSE,FALSE,FALSE,FALSE,24,3203,106.77,8.9,au
1650442485725479814,user,Espagne,es,12,8,0,8,16,87,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,22,3196,106.53,8.88,es
-3.11125E+18,user,Italie,it,10,8,21,18,16,100,1,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,11,2854,95.13,7.93,it
1821852718268771431,user,Italie,it,8,8,2,12,16,100,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,13,2853,95.1,7.92,it
2119852871524485845,user,France,fr,353,8268,5595,5,15,66,875,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,31,3198,106.6,8.88,fr
-6.40809E+18,user,Italie,it,44,8,1,0,15,31,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,26,3202,106.73,8.89,it
-2.48104E+18,user,France,fr,35,89,35,2,15,60,2,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,385,3196,106.53,8.88,fr
6265942445734721346,user,Royaume-Uni,en,20,8,7,1,15,43,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,395,2855,95.17,7.93,gb
1108410503511830706,user,France,fr,17,5,40,7,15,82,0,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,2855,95.17,7.93,fr
-5.46583E+18,user,Allemagne,de,16,8,1,4,15,100,757,31,F,2,mrs,FALSE,FALSE,FALSE,TRUE,42,3204,106.8,8.9,de
804300687807278672,user,Su?de,en,10,8,0,3,15,93,0,1,F,2,mrs,FALSE,FALSE,FALSE,TRUE,11,3195,106.5,8.88,se
4552307206837196898,user,France,en,9,8,5,21,15,93,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,11,3201,106.7,8.89,fr
-4.81733E+18,user,Royaume-Uni,en,9,8,17,16,15,90,4,1,F,2,mrs,TRUE,FALSE,TRUE,TRUE,12,2856,95.2,7.93,gb
3143360820876873956,user,Etats-Unis,en,8,8,0,22,15,100,0,0,F,2,mrs,TRUE,TRUE,TRUE,TRUE,13,2856,95.2,7.93,us
6836225089878303457,user,Italie,it,7,8,4,0,15,53,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,78,2852,95.07,7.92,it
772916917303764195,user,France,fr,6,8,21,2,15,100,0,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,13,2856,95.2,7.93,fr
1266513722862909778,user,Espagne,en,89,61,10,1,14,91.6,0,0,F,2,mrs,FALSE,FALSE,FALSE,FALSE,11,3201,106.7,8.89,es
8954682889673026469,user,France,fr,40,8,0,1,14,78,0,0,F,2,mrs,TRUE,FALSE,TRUE,FALSE,282,3204,106.8,8.9,fr
-5.04497E+18,user,Etats-Unis,en,33,2,9,1,14,85,5,0,M,1,mr,TRUE,FALSE,TRUE,FALSE,15,2855,95.17,7.93,us
-7.43342E+18,user,Pays-Bas,en,27,17,699,8,14,64,2,28,M,1,mr,TRUE,FALSE,TRUE,FALSE,11,3195,106.5,8.88,nl
-4.92167E+18,user,Croatie,en,18,14,83,3,14,100,16,0,F,2,mrs,TRUE,TRUE,FALSE,TRUE,11,3195,106.5,8.88,hr
2223440464791259223,user,Etats-Unis,en,17,8,0,3,14,93,0,0,M,1,mr,TRUE,FALSE,TRUE,TRUE,11,2857,95.23,7.94,us
7354106200842466734,user,Su?de,en,16,8,0,7,14,92,0,0,F,2,mrs,FALSE,FALSE,FALSE,TRUE,15,2857,95.23,7.94,se
